"CVE_COMPROBANTE","NOIDENTIFICACION"
"2128013","4659-CCS-024270"
"2128013","4660-CCS-024270"
"2128013","4661-CCS-024270"
"2128013","4667-CCS-024270"
"2128013","4668-CCS-024270"
"2128013","4673-CCS-024270"
"2128013","4680-CCS-024270"
"2128013","4681-CCS-024270"
"2128013","4682-CCS-024270"
"2128013","4683-CCS-024270"
"2128013","4684-CCS-024270"
"2128013","4685-CCS-024270"
"2128013","4686-CCS-024270"
"2128013","4687-CCS-024270"
"2128013","4692-CCS-024270"
"2128013","4693-CCS-024270"
"2128013","4697-CCS-024270"
"2128013","4703-CCS-024270"
"2128013","4709-CCS-024270"
"2128013","4710-CCS-024270"
"2128013","4711-CCS-024270"
"2128013","4712-CCS-024270"
"2128013","4713-CCS-024270"
"2128013","4716-CCS-024270"
"2128013","4717-CCS-024270"
"2128013","4718-CCS-024270"
"2128013","4728-CCS-024270"
"2128013","4729-CCS-024270"
"2128013","4730-CCS-024270"
"2128013","4731-CCS-024270"
"2128013","4732-CCS-024270"
"2128013","4734-CCS-024270"
"2128013","4735-CCS-024270"
"2128013","4736-CCS-024270"
"2128013","4738-CCS-024270"
"2128013","4742-CCS-024270"
"2128013","4744-CCS-024270"
"2128013","4749-CCS-024270"
"2128013","4750-CCS-024270"
"2128013","4751-CCS-024270"
"2128013","4752-CCS-024270"
"2128013","4753-CCS-024270"
"2128013","4755-CCS-024270"
"2128013","4756-CCS-024270"
"2128013","4759-CCS-024270"
"2128013","4760-CCS-024270"
"2128013","4761-CCS-024270"
"2128013","4765-CCS-024270"
"2128013","4766-CCS-024270"
"2128013","4770-CCS-024270"
"2128013","4772-CCS-024270"
"2128013","4774-CCS-024270"
"2128013","4775-CCS-024270"
"2128013","4777-CCS-024270"
"2128013","4781-CCS-024270"
"2128013","4783-CCS-024270"
"2128013","4795-CCS-024270"
"2128013","4797-CCS-024270"
"2128013","4798-CCS-024270"
"2128013","4800-CCS-024270"
"2128013","4801-CCS-024270"
"2128013","4803-CCS-024270"
"2128013","4804-CCS-024270"
"2128013","4806-CCS-024270"
"2128013","4807-CCS-024270"
"2128013","4808-CCS-024270"
"2128013","4809-CCS-024270"
"2128013","4810-CCS-024270"
"2128013","4813-CCS-024270"
"2128013","4818-CCS-024270"
"2128013","4819-CCS-024270"
"2128013","4820-CCS-024270"
"2128013","4827-CCS-024270"
"2128013","4831-CCS-024270"
"2128013","4832-CCS-024270"
"2128013","4845-CCS-024270"
"2128013","4846-CCS-024270"
"2128013","4847-CCS-024270"
"2128013","4854-CCS-024270"
"2128013","4855-CCS-024270"
"2128013","4856-CCS-024270"
"2128013","4857-CCS-024270"
"2128013","4860-CCS-024270"
"2128013","4861-CCS-024270"
"2128013","4863-CCS-024270"
"2128013","4864-CCS-024270"
"2128013","4867-CCS-024270"
"2128013","4868-CCS-024270"
"2128013","4875-CCS-024270"
"2128013","4881-CCS-024270"
"2128013","4883-CCS-024270"
"2128013","4886-CCS-024270"
"2128013","4887-CCS-024270"
"2128013","4888-CCS-024270"
"2128013","4889-CCS-024270"
"2128013","4890-CCS-024270"
"2128013","4891-CCS-024270"
"2128013","4892-CCS-024270"
"2128013","4893-CCS-024270"
"2128013","4894-CCS-024270"
"2128013","4899-CCS-024270"
"2128013","4905-CCS-024270"
"2128013","4906-CCS-024270"
"2128013","4910-CCS-024270"
"2128013","4911-CCS-024270"
"2128013","4912-CCS-024270"
"2128013","4913-CCS-024270"
"2128013","4936-CCS-024270"
"2128013","4937-CCS-024270"
"2128013","4938-CCS-024270"
"2128013","4939-CCS-024270"
"2128013","4945-CCS-024270"
"2128013","4946-CCS-024270"
"2128013","4948-CCS-024270"
"2128013","4953-CCS-024270"
"2128013","4958-CCS-024270"
"2128013","4959-CCS-024270"
"2128013","4960-CCS-024270"
"2128013","4961-CCS-024270"
"2128013","4962-CCS-024270"
"2128013","4967-CCS-024270"
"2128013","4968-CCS-024270"
"2128013","4970-CCS-024270"
"2128013","4971-CCS-024270"
"2128013","4972-CCS-024270"
"2128013","4973-CCS-024270"
"2128013","4974-CCS-024270"
"2128013","4980-CCS-024270"
"2128013","4982-CCS-024270"
"2128013","4983-CCS-024270"
